2017-12-05T11:01:23.591+0000 I CONTROL  [initandlisten] options: { config: "/conf/27019.conf", net: { http: { enabled: false }, maxIncomingConnections: 300, port: 27019 }, processManagement: { fork: true, pidFilePath: "/data/27019/logs/mongod.pid" }, replication: { replSet: "rs" }, storage: { dbPath: "/data/27019/data" }, systemLog: { destination: "file", logAppend: true, path: "/data/27019/logs/mongod.log" } }
2017-12-05T11:01:23.592+0000 W -        [initandlisten] Detected unclean shutdown - /data/27019/data/mongod.lock is not empty.
2017-12-05T11:01:23.593+0000 I -        [initandlisten] Detected data files in /data/27019/data created by the 'wiredTiger' storage engine, so setting the active storage engine to 'wiredTiger'.
2017-12-05T11:01:23.594+0000 W STORAGE  [initandlisten] Recovering data from the last clean checkpoint.
2017-12-05T11:01:23.595+0000 I STORAGE  [initandlisten] wiredtiger_open config: create,cache_size=487M,session_max=20000,eviction=(threads_min=4,threads_max=4),config_base=false,statistics=(fast),log=(enabled=true,archive=true,path=journal,compressor=snappy),file_manager=(close_idle_time=100000),checkpoint=(wait=60,log_size=2GB),statistics_log=(wait=0),
2017-12-05T11:01:28.665+0000 I CONTROL  [initandlisten] 
2017-12-05T11:01:28.665+0000 I CONTROL  [initandlisten] ** WARNING: Access control is not enabled for the database.
2017-12-05T11:01:28.666+0000 I CONTROL  [initandlisten] **          Read and write access to data and configuration is unrestricted.
2017-12-05T11:01:28.666+0000 I CONTROL  [initandlisten] ** WARNING: You are running this process as the root user, which is not recommended.
2017-12-05T11:01:28.666+0000 I CONTROL  [initandlisten] 
2017-12-05T11:01:28.668+0000 I FTDC     [initandlisten] Initializing full-time diagnostic data capture with directory '/data/27019/data/diagnostic.data'
2017-12-05T11:01:28.669+0000 I REPL     [initandlisten] Did not find local voted for document at startup.
2017-12-05T11:01:28.669+0000 I REPL     [initandlisten] Did not find local replica set configuration document at startup;  NoMatchingDocument: Did not find replica set configuration document in local.system.replset
2017-12-05T11:01:28.669+0000 I NETWORK  [thread1] waiting for connections on port 27019
2017-12-05T11:13:59.304+0000 I NETWORK  [thread1] connection accepted from 127.0.0.1:44566 #1 (1 connection now open)
2017-12-05T11:13:59.305+0000 I NETWORK  [conn1] received client metadata from 127.0.0.1:44566 conn1: { driver: { name: "NetworkInterfaceASIO-Replication", version: "3.4.10" }, os: { type: "Linux", name: "CentOS Linux release 7.4.1708 (Core) ", architecture: "x86_64", version: "Kernel 4.9.49-moby" } }
2017-12-05T11:13:59.306+0000 I ASIO     [NetworkInterfaceASIO-Replication-0] Connecting to c526be9fe055:27018
2017-12-05T11:13:59.308+0000 I ASIO     [NetworkInterfaceASIO-Replication-0] Successfully connected to c526be9fe055:27018, took 2ms (1 connections now open to c526be9fe055:27018)
2017-12-05T11:17:14.522+0000 I -        [conn1] end connection 127.0.0.1:44566 (1 connection now open)
2017-12-05T11:17:15.443+0000 I ASIO     [ReplicationExecutor] dropping unhealthy pooled connection to c526be9fe055:27018
2017-12-05T11:17:15.443+0000 I ASIO     [ReplicationExecutor] after drop, pool was empty, going to spawn some connections
2017-12-05T11:17:15.444+0000 I ASIO     [NetworkInterfaceASIO-Replication-0] Connecting to c526be9fe055:27018
2017-12-05T11:17:15.444+0000 I ASIO     [NetworkInterfaceASIO-Replication-0] Failed to connect to c526be9fe055:27018 - HostUnreachable: Connection refused
2017-12-05T11:17:15.444+0000 I ASIO     [NetworkInterfaceASIO-Replication-0] Dropping all pooled connections to c526be9fe055:27018 due to failed operation on a connection
2017-12-05T11:17:15.445+0000 I REPL     [ReplicationExecutor] Error in heartbeat request to c526be9fe055:27018; HostUnreachable: Connection refused
2017-12-05T11:17:15.445+0000 I ASIO     [NetworkInterfaceASIO-Replication-0] Connecting to c526be9fe055:27018
2017-12-05T11:17:15.445+0000 I ASIO     [NetworkInterfaceASIO-Replication-0] Failed to connect to c526be9fe055:27018 - HostUnreachable: Connection refused
2017-12-05T11:17:15.445+0000 I ASIO     [NetworkInterfaceASIO-Replication-0] Dropping all pooled connections to c526be9fe055:27018 due to failed operation on a connection
2017-12-05T11:17:15.445+0000 I REPL     [ReplicationExecutor] Error in heartbeat request to c526be9fe055:27018; HostUnreachable: Connection refused
2017-12-05T11:17:15.446+0000 I ASIO     [NetworkInterfaceASIO-Replication-0] Connecting to c526be9fe055:27018
2017-12-05T11:17:15.446+0000 I ASIO     [NetworkInterfaceASIO-Replication-0] Failed to connect to c526be9fe055:27018 - HostUnreachable: Connection refused
2017-12-05T11:17:15.446+0000 I ASIO     [NetworkInterfaceASIO-Replication-0] Dropping all pooled connections to c526be9fe055:27018 due to failed operation on a connection
2017-12-05T11:17:15.446+0000 I REPL     [ReplicationExecutor] Error in heartbeat request to c526be9fe055:27018; HostUnreachable: Connection refused
2017-12-05T11:17:15.447+0000 I ASIO     [NetworkInterfaceASIO-Replication-0] Connecting to c526be9fe055:27018
2017-12-05T11:17:15.447+0000 I ASIO     [NetworkInterfaceASIO-Replication-0] Failed to connect to c526be9fe055:27018 - HostUnreachable: Connection refused
2017-12-05T11:17:15.447+0000 I ASIO     [NetworkInterfaceASIO-Replication-0] Dropping all pooled connections to c526be9fe055:27018 due to failed operation on a connection
2017-12-05T11:17:15.447+0000 I REPL     [ReplicationExecutor] Error in heartbeat request to c526be9fe055:27018; HostUnreachable: Connection refused
2017-12-05T11:17:15.448+0000 I ASIO     [NetworkInterfaceASIO-Replication-0] Connecting to c526be9fe055:27018
2017-12-05T11:17:15.448+0000 I ASIO     [NetworkInterfaceASIO-Replication-0] Failed to connect to c526be9fe055:27018 - HostUnreachable: Connection refused
2017-12-05T11:17:15.448+0000 I ASIO     [NetworkInterfaceASIO-Replication-0] Dropping all pooled connections to c526be9fe055:27018 due to failed operation on a connection
2017-12-05T11:17:15.448+0000 I REPL     [ReplicationExecutor] Error in heartbeat request to c526be9fe055:27018; HostUnreachable: Connection refused
2017-12-05T11:17:15.449+0000 I ASIO     [NetworkInterfaceASIO-Replication-0] Connecting to c526be9fe055:27018
2017-12-05T11:17:15.449+0000 I ASIO     [NetworkInterfaceASIO-Replication-0] Failed to connect to c526be9fe055:27018 - HostUnreachable: Connection refused
2017-12-05T11:17:15.449+0000 I ASIO     [NetworkInterfaceASIO-Replication-0] Dropping all pooled connections to c526be9fe055:27018 due to failed operation on a connection
2017-12-05T11:17:15.449+0000 I REPL     [ReplicationExecutor] Error in heartbeat request to c526be9fe055:27018; HostUnreachable: Connection refused
2017-12-05T11:17:15.450+0000 I ASIO     [NetworkInterfaceASIO-Replication-0] Connecting to c526be9fe055:27018
2017-12-05T11:17:15.450+0000 I ASIO     [NetworkInterfaceASIO-Replication-0] Failed to connect to c526be9fe055:27018 - HostUnreachable: Connection refused
2017-12-05T11:17:15.450+0000 I ASIO     [NetworkInterfaceASIO-Replication-0] Dropping all pooled connections to c526be9fe055:27018 due to failed operation on a connection
2017-12-05T11:17:15.450+0000 I REPL     [ReplicationExecutor] Error in heartbeat request to c526be9fe055:27018; HostUnreachable: Connection refused
2017-12-05T11:17:15.451+0000 I ASIO     [NetworkInterfaceASIO-Replication-0] Connecting to c526be9fe055:27018
2017-12-05T11:17:15.451+0000 I ASIO     [NetworkInterfaceASIO-Replication-0] Failed to connect to c526be9fe055:27018 - HostUnreachable: Connection refused
2017-12-05T11:17:15.451+0000 I ASIO     [NetworkInterfaceASIO-Replication-0] Dropping all pooled connections to c526be9fe055:27018 due to failed operation on a connection
2017-12-05T11:17:15.451+0000 I REPL     [ReplicationExecutor] Error in heartbeat request to c526be9fe055:27018; HostUnreachable: Connection refused
2017-12-05T11:17:15.452+0000 I ASIO     [NetworkInterfaceASIO-Replication-0] Connecting to c526be9fe055:27018
2017-12-05T11:17:15.452+0000 I ASIO     [NetworkInterfaceASIO-Replication-0] Failed to connect to c526be9fe055:27018 - HostUnreachable: Connection refused
2017-12-05T11:17:15.452+0000 I ASIO     [NetworkInterfaceASIO-Replication-0] Dropping all pooled connections to c526be9fe055:27018 due to failed operation on a connection
2017-12-05T11:17:15.452+0000 I REPL     [ReplicationExecutor] Error in heartbeat request to c526be9fe055:27018; HostUnreachable: Connection refused
2017-12-05T11:17:15.453+0000 I ASIO     [NetworkInterfaceASIO-Replication-0] Connecting to c526be9fe055:27018
2017-12-05T11:17:15.453+0000 I ASIO     [NetworkInterfaceASIO-Replication-0] Failed to connect to c526be9fe055:27018 - HostUnreachable: Connection refused
2017-12-05T11:17:15.453+0000 I ASIO     [NetworkInterfaceASIO-Replication-0] Dropping all pooled connections to c526be9fe055:27018 due to failed operation on a connection
2017-12-05T11:17:15.453+0000 I REPL     [ReplicationExecutor] Error in heartbeat request to c526be9fe055:27018; HostUnreachable: Connection refused
2017-12-05T11:17:15.453+0000 I ASIO     [NetworkInterfaceASIO-Replication-0] Connecting to c526be9fe055:27018
2017-12-05T11:17:15.454+0000 I ASIO     [NetworkInterfaceASIO-Replication-0] Failed to connect to c526be9fe055:27018 - HostUnreachable: Connection refused
2017-12-05T11:17:15.454+0000 I ASIO     [NetworkInterfaceASIO-Replication-0] Dropping all pooled connections to c526be9fe055:27018 due to failed operation on a connection
2017-12-05T11:17:15.454+0000 I REPL     [ReplicationExecutor] Error in heartbeat request to c526be9fe055:27018; HostUnreachable: Connection refused
2017-12-05T11:17:15.454+0000 I ASIO     [NetworkInterfaceASIO-Replication-0] Connecting to c526be9fe055:27018
2017-12-05T11:17:15.455+0000 I ASIO     [NetworkInterfaceASIO-Replication-0] Failed to connect to c526be9fe055:27018 - HostUnreachable: Connection refused
2017-12-05T11:17:15.455+0000 I ASIO     [NetworkInterfaceASIO-Replication-0] Dropping all pooled connections to c526be9fe055:27018 due to failed operation on a connection
2017-12-05T11:17:15.455+0000 I REPL     [ReplicationExecutor] Error in heartbeat request to c526be9fe055:27018; HostUnreachable: Connection refused
2017-12-05T11:17:15.455+0000 I ASIO     [NetworkInterfaceASIO-Replication-0] Connecting to c526be9fe055:27018
